coverpoint,category,status,coverage_pct,uncovered_bins,hint
cp_custom_vfncvt_rup_overflow,Vf,complete,100,,
cp_custom_FpRecSqrtEst_edges,Vf,complete,100,,Script fixed: was using even exponent only; now covers both even/odd for full 128-entry lookup table
cp_custom_FpRecipEst_edges,Vf,complete,100,,Works correctly out of the box
cp_custom_vfclass_onehot,Vf,complete,100,,Works correctly out of the box
cp_custom_vfncvt_rod_overflow,Vf,complete,100,,Template fixed: get_vr_element_zero extracts at output SEW not source 2*SEW; changed to ins.current.vs2_val[63:0]
cp_custom_vfredosum_ordered_sum,Vf,complete,100,,Works correctly out of the box
cp_custom_FpRecSqrtEst_flag_edges,Vf,complete,100,,Fixed: spacer tests after flag-setting vfrsqrt7 to clear stale fcsr (RVVI fsflagsi alias bug)
cp_custom_FpRecipEst_flag_edges,Vf,complete,100,,Fixed: spacer tests after flag-setting vfrec7 to clear stale fcsr (RVVI fsflagsi alias bug)
cp_custom_vfp_state,Vf,partial,50,2 crosses at 0%,Template bugs: mstatus.vs==0 check traps; hardcoded instruction name; see coverage_issues/
cp_custom_vfredosum_NAN_vl0,Vf,blocked,55,cross at 0%; wrong bin values SEW32/64,Framework limitation: writeTest(vl=0) prevents data loading; template bins wrong for SEW32/64
cp_custom_vfp_flags,Vf,untested,n/a,,Script rewritten but 100+ instructions; each instruction generates multiple test files; too slow for sail
cp_custom_vfp_NaN_input,Vf,untested,n/a,,101 instructions; too slow for sail coverage
cp_custom_fmv_sf_vd_all_lmul,Vf,partial,85.46,cross 93/128 bins missing,Individual coverpoints 100%; cross needs 128 bins (32 regs × 4 LMULs) but sail can only handle ~35 tests. Needs RTL sim.
cp_custom_fmv_fs_vs2_all_lmul,Vf,partial,85.46,cross 93/128 bins missing,Script optimized to 35 tests (same as vfmv.s.f). Needs RTL sim for full cross coverage.
cp_custom_maskLS,Vls,blocked,n/a,,SIGUPD_COUNT 50000 creates huge binaries; sail times out
cp_custom_vwholeRegLS_vill,Vls,blocked,n/a,,Same issue: 4294 lines per test file; sail too slow
cp_custom_vwholeRegLS_lmul,Vls,blocked,n/a,,Same issue
cp_custom_ffLS_update_vl,Vls,blocked,n/a,,Same issue; 32 instructions
cp_custom_ls_indexed,Vls,blocked,n/a,,Same issue; 128 instructions
cp_custom_indexed_emul_data_only,Vls,blocked,n/a,,Same issue; 128 instructions
cp_custom_masked_v0_operand,Vls,blocked,n/a,,Same issue; 288 instructions
